Fonction,Label,Motif,Lieu,Pays,Dates,Annee 
Premier ministre,Jean-Pierre Raffarin,nc,Mexico,Mexique,17/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,60ème anniversaire de la libération,Strasbourg,France,21/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,Visite de l'unité de consultations médico-judiciaire (UCMJ) du centre hospitalier intercommunal,Créteil,France,24/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Chaumont,France,26/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,Congrès de l'UMP,Le Bourget,France,28/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Lens,France,29/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Londres,Royaume-Uni,30/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Échiré,France,04/12/2004,2004
Premier ministre,Jean-Pierre Raffarin,Séminaire intergouvernemental franco-portugais,Angoulême,France,13/12/2004,2004
Premier ministre,Jean-Pierre Raffarin,Déplacement privé,Châtel-Guyon,France,23/12/2004,2004
Premier ministre,Dominique de Villepin,nc,Flamanville,France,07/01/2005,2005
Premier ministre,Jean-Pierre Raffarin,Dîner du colloque franco-britannique ,Versailles,France,14/01/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Toulouse,France,18/01/2005,2005
Premier ministre,Dominique de Villepin,nc,Izieu,France,24/01/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Tunis,Tunisie,30/01/2005,2005
Premier ministre,Jean-Pierre Raffarin,"Dîner avec José Manuel Barroso, président de la Commission européenne",Bruxelles,Belgique,10/02/2005,2005
Premier ministre,Jean-Pierre Raffarin,Visite du centre de formation et d'apprentissage (CFA) ,Meaux,France,11/02/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Le Perreux-sur-Marne,France,18/02/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,France,19/02/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Strasbourg,France,22/02/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Montereau-Fault-Yonne,France,23/02/2005,2005
Premier ministre,Dominique de Villepin,Réunion du Congrès,Versailles,France,28/02/2005,2005
Premier ministre,Dominique de Villepin,Sommet franco-polonais ,Arras,France,28/02/2005,2005
Premier ministre,Dominique de Villepin,nc,Israël,Israël,15/03/2005,2005
Premier ministre,Dominique de Villepin,Inauguration du parcours théâtral dans le noir au Futuroscope ,Poitiers,France,18/03/2005,2005
Premier ministre,Jean-Pierre Raffarin,Congrès de la Fédération nationale des syndicats des exploitants agricoles (FNSEA),Le Mans,France,24/03/2005,2005
Président de la République,Jacques Chirac,nc,Tokyo,Japon,26/03/2005,2005
Premier ministre,Dominique de Villepin,nc,Lyon,France,30/03/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,France,08/04/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Nice,France,11/04/2005,2005
Premier ministre,Dominique de Villepin,nc,Chambéry,France,15/04/2005,2005
Premier ministre,Dominique de Villepin,nc,Annecy,France,15/04/2005,2005
Premier ministre,Dominique de Villepin,60ème anniversaire de la libération de la poche de Royan,Royan,France,16/04/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Vatican,Vatican,24/04/2005,2005
Premier ministre,Jean-Pierre Raffarin,« Millionième appel 39-39 »,Levallois-Perret,France,25/04/2005,2005
Premier ministre,Dominique de Villepin,nc,Amiens,France,27/04/2005,2005
Premier ministre,Jean-Pierre Raffarin,Déplacement privé,Les Baux-de-Provence,France,04/05/2005,2005
Premier ministre,Dominique de Villepin,60ème anniversaire de la signature de la capitulation des armées du IIIe Reich,Reims,France,07/05/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Bordeaux,France,17/05/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Le Havre,France,19/05/2005,2005
Premier ministre,Dominique de Villepin,Réunion publique,Épinal,France,20/05/2005,2005
Premier ministre,Dominique de Villepin,Pique-nique de l'UMP,Cergy-Pontoise,France,21/05/2005,2005
Premier ministre,Jean-Pierre Raffarin,Sommet franco-espagnol,Barcelone,Espagne,23/05/2005,2005
Premier ministre,Jean-Pierre Raffarin,Réunion publique,Poitiers,France,23/05/2005,2005
