Fonction,Individu,Motif,Lieu,Departement/region,Pays,Dates,Annee 
Premier ministre,Jean-Pierre Raffarin,Parlement européen des jeunes,Le Puy-en-Velay,Haute-Loire ,France,29/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Troyes,Aube ,France,04/04/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,Vienne,France,05/04/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Ajaccio,Corse ,France,07/04/2003,2003
Premier ministre,Jean-Pierre Raffarin,Sommet européen ,Athènes,nc,Grèce,15/04/2003,2003
Premier ministre,Jean-Pierre Raffarin,visite de l'état-major européen,Skopje,nc,Macédoine-du-Nord,16/04/2003,2003
Premier ministre,Jean-Pierre Raffarin,Opération Saint-Denis en pointe au Stade de France,Saint-Denis,Seine-Saint-Denis ,France,17/04/2003,2003
Premier ministre,Jean-Pierre Raffarin,Déplacement au Futuroscope,Poitiers,Vienne ,France,19/04/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Bruxelles,nc,Belgique,29/04/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Strasbourg,Bas-Rhin ,France,14/05/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,Vienne,France,16/05/2003,2003
Premier ministre,Jean-Pierre Raffarin,Forum Europe,Périgueux,Dordogne ,France,16/05/2003,2003
Premier ministre,Jean-Pierre Raffarin,Finale de la coupe de France de football au Stade de France,Saint-Denis,Seine-Saint-Denis,France,31/05/2003,2003
Premier ministre,Jean-Pierre Raffarin,Commémoration du Débarquement,Rouen,Normandie ,France,06/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,Réunion publique avec Nicolas Sarkozy,Asnières-sur-Seine,Hauts-de-Seine,France,10/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,Réunion nationale du MNEL,Nanterre,Hauts-de-Seine ,France,14/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,Cérémonie au Mont-Valérien,Suresnes,Hauts-de-Seine ,France,18/06/2003,2003
